population,draw,tf,score,rank
Treg,7,ATF3,-0.13193573,505
Treg,7,REL,0.518249187,444
Treg,7,HSF1,4.03071583,57
Treg,7,EPAS1,0.954239668,383
Treg,8,HIF1A,4.37400797,38
Treg,8,NFKB1,5.53360207,13
Treg,8,STAT3,5.1889539,16
Treg,8,CREB1,3.97857212,61
Treg,8,ATF3,0.117107387,465
Treg,8,REL,3.01909534,144
Treg,8,HSF1,4.38898372,34
Treg,8,EPAS1,5.13959126,18
Treg,9,HIF1A,5.42005441,15
Treg,9,NFKB1,4.6371845,33
Treg,9,STAT3,4.85961195,26
Treg,9,CREB1,4.40167363,41
Treg,9,ATF3,0.257732402,461
Treg,9,REL,0.901062533,394
Treg,9,HSF1,2.70959429,174
Treg,9,EPAS1,0.913741512,392
Treg,10,HIF1A,4.971016,22
Treg,10,NFKB1,4.53141967,36
Treg,10,STAT3,3.85264701,75
Treg,10,CREB1,3.8696324,72
Treg,10,ATF3,2.9581012,139
Treg,10,REL,3.34486385,113
Treg,10,HSF1,5.19959128,18
Treg,10,EPAS1,3.27314768,117
Treg,11,HIF1A,5.60176887,13
Treg,11,NFKB1,3.85374591,68
Treg,11,STAT3,5.37984773,15
Treg,11,CREB1,4.243114,47
Treg,11,ATF3,3.087444,133
Treg,11,REL,2.19561656,218
Treg,11,HSF1,4.26812269,45
Treg,11,EPAS1,1.77309265,272
Treg,12,HIF1A,4.5899078,38
Treg,12,NFKB1,5.31386729,18
Treg,12,STAT3,5.93869155,12
Treg,12,CREB1,4.62070748,36
Treg,12,ATF3,2.30522649,213
Treg,12,REL,4.18730647,55
Treg,12,HSF1,3.6071707,89
Treg,12,EPAS1,2.23651178,220
Treg,13,HIF1A,5.12904862,16
Treg,13,NFKB1,4.77640599,25
Treg,13,STAT3,4.00112572,60
Treg,13,CREB1,4.48101416,39
Treg,13,ATF3,0.510680297,433
Treg,13,REL,4.59959625,32
Treg,13,HSF1,4.13857347,49
Treg,13,EPAS1,4.7322852,27
Treg,14,HIF1A,4.65029822,33
Treg,14,NFKB1,5.2750815,19
Treg,14,STAT3,4.17295482,52
Treg,14,CREB1,4.48440633,37
Treg,14,ATF3,4.00250928,65
Treg,14,REL,4.38110689,44
Treg,14,HSF1,2.60168548,176
Treg,14,EPAS1,4.07746115,58
Treg,15,HIF1A,4.71366486,29
Treg,15,NFKB1,4.08525346,55
Treg,15,STAT3,3.28780594,106
Treg,15,CREB1,3.7717956,74
Treg,15,ATF3,0.408416042,439
Treg,15,REL,3.841214,67
Treg,15,HSF1,4.16737128,52
Treg,15,EPAS1,4.66480323,34
Treg,16,HIF1A,6.37912676,7
Treg,16,NFKB1,3.48222032,91
Treg,16,STAT3,2.86020989,141
Treg,16,CREB1,5.78442721,10
Treg,16,ATF3,0.961016888,382
Treg,16,REL,2.4408606,193
Treg,16,HSF1,3.65760547,77
Treg,16,EPAS1,2.30686555,205
Treg,17,HIF1A,6.00870532,10
Treg,17,NFKB1,5.57645254,14
Treg,17,STAT3,4.62309549,40
Treg,17,CREB1,4.88633813,27
Treg,17,ATF3,3.59501352,85
Treg,17,REL,4.70177014,36
Treg,17,HSF1,0.871647546,390
Treg,17,EPAS1,3.76445938,72
Treg,18,HIF1A,6.78196527,7
Treg,18,NFKB1,4.83011086,29
Treg,18,STAT3,3.88511744,62
Treg,18,CREB1,5.21906445,17
Treg,18,ATF3,0.0457458923,474
Treg,18,REL,5.20289985,18
Treg,18,HSF1,3.45872417,90
Treg,18,EPAS1,3.27796447,107
Treg,19,HIF1A,7.53668266,3
Treg,19,NFKB1,6.60824009,5
Treg,19,STAT3,3.67376375,74
Treg,19,CREB1,5.19210761,16
Treg,19,ATF3,0.341895908,456
Treg,19,REL,4.09577522,48
Treg,19,HSF1,3.55638049,85
Treg,19,EPAS1,3.70622765,69
Treg,20,HIF1A,7.21905881,4
Treg,20,NFKB1,5.38073533,13
Treg,20,STAT3,3.61510115,65
Treg,20,CREB1,5.50578286,10
Treg,20,ATF3,2.35211928,195
Treg,20,REL,3.85922609,53
Treg,20,HSF1,0.913802065,383
Treg,20,EPAS1,2.96544384,124
Treg,21,HIF1A,6.99933003,5
Treg,21,NFKB1,7.35097687,4
Treg,21,STAT3,3.27960366,98
Treg,21,CREB1,5.17746522,19
Treg,21,ATF3,3.43755619,88
Treg,21,REL,4.50898633,31
Treg,21,HSF1,2.63792757,161
Treg,21,EPAS1,3.12044358,113
Treg,22,HIF1A,5.76081682,12
Treg,22,NFKB1,6.99359407,7
Treg,22,STAT3,5.01154077,21
Treg,22,CREB1,5.8010017,11
Treg,22,ATF3,1.59820443,282
Treg,22,REL,4.56721826,34
Treg,22,HSF1,1.0647657,367
Treg,22,EPAS1,1.74430721,264
Treg,23,HIF1A,5.1258738,21
Treg,23,NFKB1,7.90023609,3
Treg,23,STAT3,4.63800294,32
Treg,23,CREB1,5.37166532,14
Treg,23,ATF3,1.1696026,357
Treg,23,REL,2.19516968,214
Treg,23,HSF1,1.6617820699999999,285
Treg,23,EPAS1,4.35165954,43
Treg,24,HIF1A,6.05917997,10
Treg,24,NFKB1,5.51921861,19
Treg,24,STAT3,4.48161,47
Treg,24,CREB1,5.96042187,12
Treg,24,ATF3,1.20564098,349
Treg,24,REL,1.51678185,311
Treg,24,HSF1,3.16143622,136
Treg,24,EPAS1,2.3003678,213
Treg,25,HIF1A,6.65501755,7
Treg,25,NFKB1,6.63131611,8
Treg,25,STAT3,4.35916962,48
Treg,25,CREB1,6.15807672,9
Treg,25,ATF3,1.34944664,338
Treg,25,REL,3.62037206,86
Treg,25,HSF1,3.08594188,114
Treg,25,EPAS1,1.73311929,290
Treg,26,HIF1A,7.03111511,6
Treg,26,NFKB1,5.30506668,25
Treg,26,STAT3,3.56901318,94
Treg,26,CREB1,4.03920175,58
Treg,26,ATF3,2.40515762,209
Treg,26,REL,3.09078477,128
Treg,26,HSF1,2.0025036,246
Treg,26,EPAS1,2.51886485,198
Treg,27,HIF1A,5.53470033,16
Treg,27,NFKB1,6.52035112,7
Treg,27,STAT3,5.47386214,17
Treg,27,CREB1,7.11391704,4
Treg,27,ATF3,1.80698381,270
Treg,27,REL,0.454050162,462
Treg,27,HSF1,3.56659261,92
Treg,27,EPAS1,4.05629576,58
Treg,28,HIF1A,5.78449587,9
Treg,28,NFKB1,6.90922319,7
Treg,28,STAT3,5.19942262,17
Treg,28,CREB1,4.93510623,24
Treg,28,ATF3,3.38504588,94
Treg,28,REL,2.36845223,200
Treg,28,HSF1,4.05953765,52
Treg,28,EPAS1,3.95767887,56
Treg,29,HIF1A,5.02883148,23
Treg,29,NFKB1,6.08074318,9
Treg,29,STAT3,3.89501125,59
Treg,29,CREB1,4.20819162,45
Treg,29,ATF3,3.99017628,56
Treg,29,REL,2.29997372,207
Treg,29,HSF1,1.7324588,278
Treg,29,EPAS1,2.09936185,235
Treg,30,HIF1A,6.00417744,12
Treg,30,NFKB1,5.74023971,15
Treg,30,STAT3,5.52747452,18
Treg,30,CREB1,6.42938717,8
Treg,30,ATF3,3.20680525,103
Treg,30,REL,4.71708618,34
Treg,30,HSF1,2.9564482500000002,126
Treg,30,EPAS1,4.15120663,48
Treg,31,HIF1A,5.57856941,17
Treg,31,NFKB1,4.43487564,41
Treg,31,STAT3,5.06169307,25
Treg,31,CREB1,5.48923246,20
Treg,31,ATF3,1.2736772,338
Treg,31,REL,6.00392882,11
Treg,31,HSF1,5.23260355,22
Treg,31,EPAS1,1.71348277,278
Treg,32,HIF1A,3.62151379,67
Treg,32,NFKB1,5.85933025,12
Treg,32,STAT3,5.66451982,16
Treg,32,CREB1,6.18838277,9
Treg,32,ATF3,0.591115163,418
Treg,32,REL,2.86484712,146
Treg,32,HSF1,3.68767606,63
Treg,32,EPAS1,1.53025785,298
Treg,33,HIF1A,4.80017044,37
Treg,33,NFKB1,5.87906558,11
Treg,33,STAT3,6.39460192,9
Treg,33,CREB1,4.96250163,31
Treg,33,ATF3,1.25432429,338
Treg,33,REL,2.85924975,138
Treg,33,HSF1,1.61011852,293
Treg,33,EPAS1,2.83852912,144
Treg,34,HIF1A,6.02364493,13
Treg,34,NFKB1,5.33748429,23
Treg,34,STAT3,5.95688714,14
Treg,34,CREB1,4.74156086,33
Treg,34,ATF3,0.362671105,440
Treg,34,REL,2.60664421,162
Treg,34,HSF1,4.5803424,42
Treg,34,EPAS1,-0.424991772,520
Treg,35,HIF1A,5.67332846,13
Treg,35,NFKB1,5.25298494,18
Treg,35,STAT3,5.53433747,15
Treg,35,CREB1,4.45344104,41
Treg,35,ATF3,1.23454734,350
Treg,35,REL,3.70527394,72
Treg,35,HSF1,3.02167645,128
Treg,35,EPAS1,1.56327397,310
Treg,36,HIF1A,7.05204177,5
Treg,36,NFKB1,4.98077377,29
Treg,36,STAT3,4.16997473,57
Treg,36,CREB1,6.83578808,6
Treg,36,ATF3,1.62833413,290
Treg,36,REL,3.3048589,108
Treg,36,HSF1,1.19000666,337
Treg,36,EPAS1,1.73206232,272
Treg,37,HIF1A,7.45305951,4
Treg,37,NFKB1,4.6766703,34
Treg,37,STAT3,4.80735742,30
Treg,37,CREB1,6.86606815,9
Treg,37,ATF3,0.42229695,456
Treg,37,REL,4.35559909,48
Treg,37,HSF1,3.70419944,84
Treg,37,EPAS1,2.30336051,204
Treg,38,HIF1A,7.06646811,5
Treg,38,NFKB1,5.90343127,14
Treg,38,STAT3,3.63887082,73
Treg,38,CREB1,6.06394339,11
Treg,38,ATF3,2.33876931,190
Treg,38,REL,2.50229373,172
Treg,38,HSF1,1.84486681,248
Treg,38,EPAS1,0.957956117,371
Treg,39,HIF1A,7.1347623,6
Treg,39,NFKB1,5.22388845,18
Treg,39,STAT3,6.07848031,9
Treg,39,CREB1,3.65742401,82
Treg,39,ATF3,2.79905752,140
Treg,39,REL,3.25603285,109
Treg,39,HSF1,2.69857132,149
Treg,39,EPAS1,3.83152574,69
Treg,40,HIF1A,7.15317562,4
Treg,40,NFKB1,3.20341949,116
Treg,40,STAT3,4.23601404,46
Treg,40,CREB1,4.54820907,34
Treg,40,ATF3,1.84737726,261
Treg,40,REL,4.11101336,49
Treg,40,HSF1,3.9344866,59
Treg,40,EPAS1,2.34629958,202
Treg,41,HIF1A,6.32457924,8
Treg,41,NFKB1,3.55051752,80
Treg,41,STAT3,4.93400074,24
Treg,41,CREB1,5.61771569,10
Treg,41,ATF3,4.23883061,42
Treg,41,REL,2.46668911,187
Treg,41,HSF1,2.27830089,212
Treg,41,EPAS1,5.01382485,22
Treg,42,HIF1A,5.09679344,20
Treg,42,NFKB1,4.74081992,32
Treg,42,STAT3,4.71563235,33
Treg,42,CREB1,5.49800028,10
Treg,42,ATF3,3.11565933,128
Treg,42,REL,3.72799035,79
Treg,42,HSF1,1.97211214,257
Treg,42,EPAS1,1.15312192,362
Treg,43,HIF1A,4.97844834,22
Treg,43,NFKB1,4.06599799,55
Treg,43,STAT3,4.42796797,35
Treg,43,CREB1,5.20644909,17
Treg,43,ATF3,4.30489362,41
Treg,43,REL,0.528532543,432
Treg,43,HSF1,2.56803221,180
Treg,43,EPAS1,1.54112428,312
Treg,44,HIF1A,6.37745182,7
Treg,44,NFKB1,4.81813305,37
Treg,44,STAT3,4.46655843,42
Treg,44,CREB1,6.88275221,3
Treg,44,ATF3,0.991205525,386
Treg,44,REL,2.04987215,245
Treg,44,HSF1,3.13347177,118
Treg,44,EPAS1,1.85926771,263
Treg,45,HIF1A,4.82534885,34
Treg,45,NFKB1,5.34402248,16
Treg,45,STAT3,4.64146876,38
Treg,45,CREB1,5.72035131,11
Treg,45,ATF3,-0.111079703,497
Treg,45,REL,1.88153657,261
Treg,45,HSF1,5.01823381,27
Treg,45,EPAS1,2.51289197,186
Treg,46,HIF1A,5.87482941,10
Treg,46,NFKB1,5.72087292,14
Treg,46,STAT3,4.56863975,37
Treg,46,CREB1,7.38124959,2
Treg,46,ATF3,0.333317838,464
Treg,46,REL,5.73100547,13
Treg,46,HSF1,4.49580504,38
Treg,46,EPAS1,3.00979829,119
Treg,47,HIF1A,5.56357415,14
Treg,47,NFKB1,5.41850499,15
Treg,47,STAT3,5.94397686,9
Treg,47,CREB1,5.35518004,18
Treg,47,ATF3,4.34687075,43
Treg,47,REL,3.66992092,80
Treg,47,HSF1,3.38151609,105
Treg,47,EPAS1,2.37529831,199
Treg,48,HIF1A,5.04855316,19
Treg,48,NFKB1,5.53130666,11
Treg,48,STAT3,5.47313309,13
Treg,48,CREB1,6.29406861,4
Treg,48,ATF3,2.68898271,152
Treg,48,REL,4.59270543,37
Treg,48,HSF1,2.72743062,145
Treg,48,EPAS1,3.97378594,62
Treg,49,HIF1A,4.36823354,50
Treg,49,NFKB1,5.1137477,23
Treg,49,STAT3,6.32083405,6
Treg,49,CREB1,5.63572544,12
Treg,49,ATF3,0.0779787754,472
Treg,49,REL,4.68133272,37
Treg,49,HSF1,2.18381897,219
Treg,49,EPAS1,2.91920841,142
Treg,50,HIF1A,4.67528256,32
Treg,50,NFKB1,6.24210815,9
Treg,50,STAT3,5.44342519,17
Treg,50,CREB1,4.1904719,58
Treg,50,ATF3,2.02262803,250
Treg,50,REL,3.78858293,87
Treg,50,HSF1,1.83530156,272
Treg,50,EPAS1,3.32310278,125
Treg,51,HIF1A,5.68198755,12
Treg,51,NFKB1,5.64085539,14
Treg,51,STAT3,4.77438033,34
Treg,51,CREB1,6.0815293,9
Treg,51,ATF3,0.901480713,385
Treg,51,REL,2.42534111,190
Treg,51,HSF1,4.46403477,49
Treg,51,EPAS1,3.05552181,135
Treg,52,HIF1A,5.88991854,9
Treg,52,NFKB1,4.61744102,47
Treg,52,STAT3,4.96517453,30
Treg,52,CREB1,5.58905585,17
Treg,52,ATF3,1.66955462,290
Treg,52,REL,3.01693518,137
Treg,52,HSF1,3.27463721,112
Treg,52,EPAS1,4.86913022,35
Treg,53,HIF1A,4.8145129,25
Treg,53,NFKB1,5.27481714,16
Treg,53,STAT3,3.60040243,90
Treg,53,CREB1,4.99935636,21
Treg,53,ATF3,1.54792959,308
Treg,53,REL,5.22334711,18
Treg,53,HSF1,2.6865149,171
Treg,53,EPAS1,3.247223,112
Treg,54,HIF1A,7.4730677,3
Treg,54,NFKB1,5.872825,9
Treg,54,STAT3,3.41679985,92
Treg,54,CREB1,5.76080557,10
Treg,54,ATF3,1.19460171,345
Treg,54,REL,2.51220806,185
Treg,54,HSF1,4.06221383,58
Treg,54,EPAS1,1.6856401,294
Treg,55,HIF1A,6.75496755,4
Treg,55,NFKB1,5.12783479,20
Treg,55,STAT3,3.79236819,62
Treg,55,CREB1,5.50841526,13
Treg,55,ATF3,2.48327937,191
Treg,55,REL,2.85869777,155
Treg,55,HSF1,-0.0215852184,484
Treg,55,EPAS1,1.64212806,302
Treg,56,HIF1A,6.38919889,4
Treg,56,NFKB1,4.59207857,36
Treg,56,STAT3,3.41226946,100
Treg,56,CREB1,5.56225088,15
Treg,56,ATF3,2.00493459,242
Treg,56,REL,3.49490781,93
Treg,56,HSF1,3.9016841,71
Treg,56,EPAS1,1.57047713,288
Treg,57,HIF1A,5.88489905,10
Treg,57,NFKB1,5.42295149,17
Treg,57,STAT3,3.227409,117
Treg,57,CREB1,5.74384865,14
Treg,57,ATF3,-0.100896084,490
Treg,57,REL,2.72663446,162
Treg,57,HSF1,4.15717113,52
Treg,57,EPAS1,2.21624288,221
Treg,58,HIF1A,6.24038726,9
Treg,58,NFKB1,5.12520578,23
Treg,58,STAT3,2.2830530000000002,204
Treg,58,CREB1,5.66354125,16
Treg,58,ATF3,3.05095702,127
Treg,58,REL,2.27211003,206
Treg,58,HSF1,4.34315373,44
Treg,58,EPAS1,2.14072165,221
Treg,59,HIF1A,6.14923796,11
Treg,59,NFKB1,5.85286323,14
Treg,59,STAT3,4.76883307,35
Treg,59,CREB1,6.80295725,5
Treg,59,ATF3,1.1524766,349
Treg,59,REL,2.77293672,160
Treg,59,HSF1,3.34839185,98
Treg,59,EPAS1,4.75257174,37
Treg,60,HIF1A,4.65881334,41
Treg,60,NFKB1,3.75092615,81
Treg,60,STAT3,5.77476616,18
Treg,60,CREB1,4.29249549,55
Treg,60,ATF3,0.982870317,385
Treg,60,REL,2.84791671,147
Treg,60,HSF1,1.69617955,276
Treg,60,EPAS1,4.22294708,58
Treg,61,HIF1A,5.36789298,20
Treg,61,NFKB1,2.95351596,140
Treg,61,STAT3,6.39921613,7
Treg,61,CREB1,5.67995328,15
Treg,61,ATF3,-0.101832428,491
Treg,61,REL,4.21486705,51
Treg,61,HSF1,3.36291949,97
Treg,61,EPAS1,3.57495504,86
Treg,62,HIF1A,5.42174339,17
Treg,62,NFKB1,4.69791191,40
Treg,62,STAT3,6.21840922,9
Treg,62,CREB1,4.06102842,57
Treg,62,ATF3,1.86457471,247
Treg,62,REL,3.69006252,82
Treg,62,HSF1,3.96957983,64
Treg,62,EPAS1,3.97932033,62
Treg,63,HIF1A,5.61088368,21
Treg,63,NFKB1,4.04214278,60
Treg,63,STAT3,6.45343176,9
Treg,63,CREB1,5.2268892,28
Treg,63,ATF3,3.16531924,117
Treg,63,REL,2.75767232,151
Treg,63,HSF1,4.05193479,58
Treg,63,EPAS1,4.24526191,50
Treg,64,HIF1A,6.25458288,7
Treg,64,NFKB1,5.40635291,19
Treg,64,STAT3,6.53152704,5
Treg,64,CREB1,3.87838974,66
Treg,64,ATF3,-0.472655039,525
Treg,64,REL,2.81359458,149
Treg,64,HSF1,5.13654862,24
Treg,64,EPAS1,1.72053967,272
Treg,65,HIF1A,7.42542218,3
Treg,65,NFKB1,6.06852576,12
Treg,65,STAT3,6.80261775,5
Treg,65,CREB1,4.00220208,56
Treg,65,ATF3,2.73303845,154
Treg,65,REL,3.19065453,111
Treg,65,HSF1,3.24187115,106
Treg,65,EPAS1,3.04079618,124
Treg,66,HIF1A,6.88920155,4
Treg,66,NFKB1,6.21120559,10
Treg,66,STAT3,6.80856579,6
Treg,66,CREB1,5.2716489,24
Treg,66,ATF3,1.72416688,265
Treg,66,REL,4.33692179,47
Treg,66,HSF1,2.92006217,136
Treg,66,EPAS1,1.6364009,277
Treg,67,HIF1A,7.50280668,2
Treg,67,NFKB1,5.52924917,21
Treg,67,STAT3,6.21379167,11
Treg,67,CREB1,5.02396945,27
Treg,67,ATF3,2.69923595,161
Treg,67,REL,4.87687459,31
Treg,67,HSF1,1.97844439,243
Treg,67,EPAS1,4.39976681,45
Treg,68,HIF1A,7.22445854,4
Treg,68,NFKB1,4.63802127,40
Treg,68,STAT3,4.44474848,51
Treg,68,CREB1,6.23138283,9
Treg,68,ATF3,2.5861392,184
Treg,68,REL,6.04904624,10
Treg,68,HSF1,1.82300815,273
Treg,68,EPAS1,2.31802692,208
Treg,69,HIF1A,7.70869377,3
Treg,69,NFKB1,4.64432635,36
Treg,69,STAT3,4.61360857,41
Treg,69,CREB1,6.29786748,7
Treg,69,ATF3,1.07454254,363
Treg,69,REL,5.23082628,21
Treg,69,HSF1,2.20958324,218
Treg,69,EPAS1,1.20871969,342
Treg,70,HIF1A,7.36261504,4
Treg,70,NFKB1,4.42806847,44
Treg,70,STAT3,5.15787604,23
Treg,70,CREB1,7.16827931,5
Treg,70,ATF3,3.36627915,102
Treg,70,REL,4.80434707,34
Treg,70,HSF1,3.7001181,83
Treg,70,EPAS1,1.64520271,286
Treg,71,HIF1A,7.39562635,3
Treg,71,NFKB1,3.34103821,110
Treg,71,STAT3,4.51925925,42
Treg,71,CREB1,3.9518054,62
Treg,71,ATF3,2.89695075,159
Treg,71,REL,5.29614464,20
Treg,71,HSF1,2.35761366,208
Treg,71,EPAS1,1.87409919,259
Treg,72,HIF1A,6.84566634,5
Treg,72,NFKB1,2.87893921,147
Treg,72,STAT3,5.23649942,24
Treg,72,CREB1,6.14660616,11
Treg,72,ATF3,1.70088873,284
Treg,72,REL,3.4271246,89
Treg,72,HSF1,3.93711692,62
Treg,72,EPAS1,1.59928796,294
Treg,73,HIF1A,5.15194565,22
Treg,73,NFKB1,5.10214347,23
Treg,73,STAT3,5.2516423,20
Treg,73,CREB1,6.25510421,10
Treg,73,ATF3,0.874240045,383
Treg,73,REL,4.25638218,55
Treg,73,HSF1,1.49910638,304
Treg,73,EPAS1,1.37644733,321
Treg,74,HIF1A,6.74146398,7
Treg,74,NFKB1,4.113315,59
Treg,74,STAT3,5.28048736,26
Treg,74,CREB1,6.30390867,11
Treg,74,ATF3,0.0968751238,477
Treg,74,REL,3.96051905,67
Treg,74,HSF1,6.57329384,8
Treg,74,EPAS1,2.85337178,150
Treg,75,HIF1A,6.21615634,10
Treg,75,NFKB1,5.21337778,20
Treg,75,STAT3,6.83331246,7
Treg,75,CREB1,5.45132726,14
Treg,75,ATF3,2.88720959,149
Treg,75,REL,4.72441334,33
Treg,75,HSF1,4.2293873,51
Treg,75,EPAS1,2.26479422,211
Treg,76,HIF1A,5.99431618,14
Treg,76,NFKB1,6.09885164,12
Treg,76,STAT3,4.23964468,51
Treg,76,CREB1,3.89301937,68
Treg,76,ATF3,4.73784233,28
Treg,76,REL,3.54484087,84
Treg,76,HSF1,2.91544726,132
Treg,76,EPAS1,4.26522058,49
Treg,77,HIF1A,5.04475679,20
Treg,77,NFKB1,5.28602349,14
Treg,77,STAT3,3.79373269,74
Treg,77,CREB1,3.38235771,100
Treg,77,ATF3,0.662754148,411
Treg,77,REL,1.19040351,342
Treg,77,HSF1,2.80905131,147
Treg,77,EPAS1,4.33409674,47
Treg,78,HIF1A,5.52337945,17
Treg,78,NFKB1,4.33278972,53
Treg,78,STAT3,4.87788542,31
Treg,78,CREB1,3.4879508,99
Treg,78,ATF3,2.19470458,217
Treg,78,REL,2.20231115,216
Treg,78,HSF1,1.61623197,283
Treg,78,EPAS1,4.92091129,27
Treg,79,HIF1A,5.12649388,25
Treg,79,NFKB1,4.24984625,56
Treg,79,STAT3,5.94811707,10
Treg,79,CREB1,3.51958538,94
Treg,79,ATF3,0.870113722,375
Treg,79,REL,3.47492494,95
Treg,79,HSF1,2.52315576,186
Treg,79,EPAS1,4.43674364,46
Treg,80,HIF1A,5.03447269,26
Treg,80,NFKB1,5.17010383,22
Treg,80,STAT3,5.52267784,15
Treg,80,CREB1,4.68187361,37
Treg,80,ATF3,2.98832375,137
Treg,80,REL,4.60727508,39
Treg,80,HSF1,3.35596309,96
Treg,80,EPAS1,4.22652658,54
Treg,81,HIF1A,5.11257001,16
Treg,81,NFKB1,4.94961061,20
Treg,81,STAT3,5.34309341,11
Treg,81,CREB1,4.77267603,28
Treg,81,ATF3,-0.481386442,526
Treg,81,REL,4.37290485,48
Treg,81,HSF1,3.87316469,65
Treg,81,EPAS1,4.34564427,50
Treg,82,HIF1A,4.64976762,32
Treg,82,NFKB1,4.05890424,50
Treg,82,STAT3,4.64945199,33
Treg,82,CREB1,5.10998476,19
Treg,82,ATF3,0.537035085,432
Treg,82,REL,2.99275737,133
Treg,82,HSF1,3.3459075,98
Treg,82,EPAS1,4.3979849,39
Treg,83,HIF1A,5.09357021,24
Treg,83,NFKB1,6.85355717,4
Treg,83,STAT3,5.2155198,22
Treg,83,CREB1,5.69068967,18
Treg,83,ATF3,2.7610984,136
Treg,83,REL,3.69758905,73
Treg,83,HSF1,2.89967211,125
Treg,83,EPAS1,2.87170361,127
Treg,84,HIF1A,6.13437649,11
Treg,84,NFKB1,6.46667894,8
Treg,84,STAT3,5.55999614,17
Treg,84,CREB1,5.70829559,16
Treg,84,ATF3,2.2958643,200
Treg,84,REL,4.30558472,48
Treg,84,HSF1,2.65097839,165
Treg,84,EPAS1,4.64128688,34
Treg,85,HIF1A,7.11299056,3
Treg,85,NFKB1,4.704452,37
Treg,85,STAT3,6.90065255,5
Treg,85,CREB1,5.90282688,16
Treg,85,ATF3,0.68424957,401
Treg,85,REL,5.1691112,27
Treg,85,HSF1,3.64066327,86
Treg,85,EPAS1,3.96283426,65
Treg,86,HIF1A,6.3493311,11
Treg,86,NFKB1,5.06518239,25
Treg,86,STAT3,5.20151589,24
Treg,86,CREB1,5.32838833,20
Treg,86,ATF3,-1.16384279,563
Treg,86,REL,5.69062663,16
Treg,86,HSF1,4.00799549,62
Treg,86,EPAS1,1.85384235,267
Treg,87,HIF1A,6.23219431,7
Treg,87,NFKB1,3.58716443,94
Treg,87,STAT3,5.5204733,13
Treg,87,CREB1,5.48028019,15
Treg,87,ATF3,0.649707254,427
Treg,87,REL,3.48383482,101
Treg,87,HSF1,1.5497331,305
Treg,87,EPAS1,0.887783741,398
Treg,88,HIF1A,5.29839638,19
Treg,88,NFKB1,3.41094046,103
Treg,88,STAT3,5.63768488,10
Treg,88,CREB1,5.36550201,14
Treg,88,ATF3,0.214157687,466
Treg,88,REL,4.05173819,59
Treg,88,HSF1,1.95747248,245
Treg,88,EPAS1,3.05295306,131
Treg,89,HIF1A,5.22236207,23
Treg,89,NFKB1,4.52408285,42
Treg,89,STAT3,5.64400587,14
Treg,89,CREB1,4.15229955,50
Treg,89,ATF3,-0.0473986337,501
Treg,89,REL,2.434281,204
Treg,89,HSF1,1.16603623,368
Treg,89,EPAS1,4.14093463,51
Treg,90,HIF1A,5.52172958,13
Treg,90,NFKB1,4.44040222,45
Treg,90,STAT3,5.23414837,20
Treg,90,CREB1,4.37890504,48
Treg,90,ATF3,0.422729744,444
Treg,90,REL,2.77331723,152
Treg,90,HSF1,2.12435305,228
Treg,90,EPAS1,2.96864606,132
Treg,91,HIF1A,4.98739797,29
Treg,91,NFKB1,3.2622898,125
Treg,91,STAT3,5.12078108,23
Treg,91,CREB1,3.50221379,101
Treg,91,ATF3,4.06579542,70
Treg,91,REL,2.29471135,210
Treg,91,HSF1,0.926662134,395
Treg,91,EPAS1,3.02406195,138
Treg,92,HIF1A,4.80914643,27
