ensembl_id,gene_symbol
ENSG00000197989,SNHG12
ENSG00000120656,TAF12
ENSG00000188060,RAB42
ENSG00000229388,RP11-442N24__B.1
ENSG00000270103,RNU11
ENSG00000162419,GMEB1
ENSG00000198492,YTHDF2
ENSG00000233427,RP1-212P9.3
ENSG00000159023,EPB41
ENSG00000253304,TMEM200B
ENSG00000225750,RP11-242O24.3
ENSG00000116350,SRSF4
ENSG00000116353,MECR
ENSG00000060656,PTPRU
ENSG00000162510,MATN1
ENSG00000186056,MATN1-AS1
ENSG00000162511,LAPTM5
ENSG00000162512,SDC3
ENSG00000134644,PUM1
ENSG00000060688,SNRNP40
ENSG00000121766,ZCCHC17
ENSG00000229044,RP11-266K22.2
ENSG00000121769,FABP3
ENSG00000168528,SERINC2
ENSG00000162517,PEF1
ENSG00000235790,RP11-73M7.6
ENSG00000264078,RP11-73M7.9
ENSG00000084636,COL16A1
ENSG00000121753,BAI2
ENSG00000134668,SPOCD1
ENSG00000203620,RP11-84A19.2
ENSG00000269967,RP11-84A19.4
ENSG00000184007,PTP4A2
ENSG00000212673,AL136115.1
ENSG00000228634,RP4-534N18.2
ENSG00000121774,KHDRBS1
ENSG00000203325,RP11-277A4.4
ENSG00000121775,TMEM39B
ENSG00000025800,KPNA6
ENSG00000084652,TXLNA
ENSG00000160050,CCDC28B
ENSG00000224066,RP4-622L5.7
ENSG00000160051,IQCC
ENSG00000222046,DCDC2B
ENSG00000160055,TMEM234
ENSG00000084623,EIF3I
ENSG00000183615,FAM167B
ENSG00000182866,LCK
ENSG00000116478,HDAC1
ENSG00000175130,MARCKSL1
ENSG00000162526,TSSK3
ENSG00000225828,FAM229A
ENSG00000160058,BSDC1
ENSG00000273274,ZBTB8B
ENSG00000160062,ZBTB8A
ENSG00000176261,ZBTB8OS
ENSG00000162521,RBBP4
ENSG00000162520,SYNC
ENSG00000162522,KIAA1522
ENSG00000134684,YARS
ENSG00000116497,S100PBP
ENSG00000160097,FNDC5
ENSG00000121905,HPCA
ENSG00000116514,RNF19B
ENSG00000236065,RP1-117O3.2
ENSG00000004455,AK2
ENSG00000142920,ADC
ENSG00000116525,TRIM62
ENSG00000160094,ZNF362
ENSG00000184389,A3GALT2
ENSG00000225313,RP11-415J8.3
ENSG00000134686,PHC2
ENSG00000121903,ZSCAN20
ENSG00000163866,SMIM12
ENSG00000230163,RP5-997D16.2
ENSG00000116544,DLGAP3
ENSG00000271741,RP11-244H3.4
ENSG00000243749,ZMYM6NB
ENSG00000163867,ZMYM6
ENSG00000197056,ZMYM1
ENSG00000116560,SFPQ
ENSG00000146463,ZMYM4
ENSG00000227409,ZMYM4-AS1
ENSG00000142687,KIAA0319L
ENSG00000020129,NCDN
ENSG00000239636,RP4-728D4.2
ENSG00000116819,TFAP2E
ENSG00000126067,PSMB2
ENSG00000142686,C1orf216
ENSG00000092853,CLSPN
ENSG00000232335,RP11-435D7.3
ENSG00000134698,AGO4
ENSG00000092847,AGO1
ENSG00000271914,RP4-789D17.5
ENSG00000126070,AGO3
ENSG00000271554,RP4-665N4.8
ENSG00000092850,TEKT2
ENSG00000116863,ADPRHL2
ENSG00000171812,COL8A2
ENSG00000054116,TRAPPC3
ENSG00000116871,MAP7D1
ENSG00000054118,THRAP3
ENSG00000214193,SH3D21
ENSG00000142694,EVA1B
ENSG00000116883,RP11-268J15.5
ENSG00000196182,STK40
ENSG00000181817,LSM10
ENSG00000116885,OSCP1
ENSG00000116898,MRPS15
ENSG00000119535,CSF3R
ENSG00000233621,LINC01137
ENSG00000163874,ZC3H12A
ENSG00000163875,MEAF6
ENSG00000163877,SNIP1
ENSG00000163879,DNALI1
ENSG00000134697,GNL2
ENSG00000116922,C1orf109
ENSG00000134690,CDCA8
ENSG00000183317,EPHA10
ENSG00000185090,MANEAL
ENSG00000233728,RP11-109P14.9
ENSG00000196449,YRDC
ENSG00000197982,C1orf122
ENSG00000188786,MTF1
ENSG00000230955,RP11-109P14.10
ENSG00000204084,INPP5B
ENSG00000183431,SF3A3
ENSG00000183386,FHL3
ENSG00000183520,UTP11L
ENSG00000185668,POU3F1
ENSG00000224592,RP5-884C9.2
ENSG00000116954,RRAGC
ENSG00000228436,RP5-864K19.4
ENSG00000214114,MYCBP
ENSG00000158315,RHBDL2
ENSG00000174574,AKIRIN1
ENSG00000168653,NDUFS5
ENSG00000127603,MACF1
ENSG00000226438,RP11-420K8.1
ENSG00000255103,KIAA0754
ENSG00000182109,RP11-69E11.4
ENSG00000090621,PABPC4
ENSG00000228060,RP11-69E11.8
ENSG00000163909,HEYL
ENSG00000116981,NT5C1A
ENSG00000116983,HPCAL4
ENSG00000084072,PPIE
ENSG00000116985,BMP8B
ENSG00000198754,OXCT2
ENSG00000261798,RP1-118J21.25
ENSG00000043514,TRIT1
ENSG00000116990,MYCL
ENSG00000236546,RP1-118J21.5
ENSG00000168389,MFSD2A
ENSG00000131236,CAP1
ENSG00000131238,PPT1
ENSG00000117000,RLF
ENSG00000188800,TMCO2
ENSG00000259943,RP1-39G22.7
ENSG00000084073,ZMPSTE24
ENSG00000049089,COL9A2
ENSG00000084070,SMAP2
ENSG00000187801,ZFP69B
ENSG00000187815,ZFP69
ENSG00000238287,RP11-656D10.3
ENSG00000164002,EXO5
ENSG00000227278,RP11-656D10.5
ENSG00000238186,RP11-656D10.6
ENSG00000117010,ZNF684
ENSG00000117016,RIMS3
ENSG00000272145,NFYC-AS1
ENSG00000066136,NFYC
ENSG00000117013,KCNQ4
ENSG00000179862,CITED4
ENSG00000229528,RP5-1066H13.4
ENSG00000171793,CTPS1
ENSG00000171790,SLFNL1
ENSG00000010803,SCMH1
ENSG00000235358,RP11-399E6.1
ENSG00000204060,FOXO6
ENSG00000127124,HIVEP3
ENSG00000198815,FOXJ3
ENSG00000177181,RIMKLA
ENSG00000066185,ZMYND12
ENSG00000127125,PPCS
ENSG00000186409,CCDC30
ENSG00000171960,PPIH
ENSG00000234917,RP5-994D16.3
ENSG00000065978,YBX1
ENSG00000117385,LEPRE1
ENSG00000164008,C1orf50
ENSG00000228452,RP5-994D16.9
ENSG00000177868,CCDC23
ENSG00000164010,ERMAP
ENSG00000228192,RP11-342M1.3
ENSG00000164011,ZNF691
ENSG00000117394,SLC2A1
ENSG00000227533,SLC2A1-AS1
ENSG00000117395,EBNA1BP2
ENSG00000243710,WDR65
ENSG00000179178,TMEM125
ENSG00000066056,TIE1
ENSG00000117400,MPL
ENSG00000234694,RP1-92O14.3
ENSG00000117399,CDC20
ENSG00000066322,ELOVL1
ENSG00000159479,MED8
ENSG00000229431,RP1-92O14.6
ENSG00000198198,SZT2
ENSG00000229372,SZT2-AS1
ENSG00000178922,HYI
ENSG00000229348,HYI-AS1
ENSG00000142949,PTPRF
ENSG00000066135,KDM4A
ENSG00000236200,KDM4A-AS1
ENSG00000126091,ST3GAL3
ENSG00000229444,RP11-184I16.4
ENSG00000237950,RP11-7O11.3
ENSG00000117408,IPO13
ENSG00000132768,DPH2
ENSG00000117410,ATP6V0B
ENSG00000117411,B4GALT2
ENSG00000159214,CCDC24
ENSG00000196517,SLC6A9
ENSG00000230615,RP5-1198O20.4
ENSG00000178028,DMAP1
ENSG00000117419,ERI3
ENSG00000187147,RNF220
ENSG00000126106,TMEM53
ENSG00000198520,C1orf228
ENSG00000142945,KIF2C
ENSG00000225721,RP11-269F19.2
ENSG00000142937,RPS8
ENSG00000142959,BEST4
ENSG00000173846,PLK3
ENSG00000188396,TCTEX1D4
ENSG00000222009,BTBD19
ENSG00000117425,PTCH2
ENSG00000070785,EIF2B3
ENSG00000126107,HECTD3
ENSG00000126088,UROD
ENSG00000162415,ZSWIM5
ENSG00000186603,HPDL
ENSG00000132781,MUTYH
ENSG00000132773,TOE1
ENSG00000070759,TESK2
ENSG00000236624,CCDC163P
ENSG00000132763,MMACHC
ENSG00000117450,PRDX1
ENSG00000117448,AKR1A1
ENSG00000132780,NASP
ENSG00000159588,CCDC17
ENSG00000159592,GPBP1L1
ENSG00000159596,TMEM69
ENSG00000197429,IPP
ENSG00000086015,MAST2
ENSG00000117461,PIK3R3
ENSG00000226957,RP4-533D7.4
ENSG00000227857,RP4-533D7.5
ENSG00000117472,TSPAN1
ENSG00000085998,POMGNT1
ENSG00000171357,LURAP1
ENSG00000085999,RAD54L
ENSG00000132128,LRRC41
ENSG00000173660,UQCRH
ENSG00000117481,NSUN4
ENSG00000117480,FAAH
ENSG00000225667,LINC00505
ENSG00000197587,DMBX1
ENSG00000269956,MKNK1-AS1
ENSG00000162456,KNCN
ENSG00000079277,MKNK1
ENSG00000142961,MOB3C
ENSG00000123472,ATPAF1
ENSG00000159658,EFCAB14
ENSG00000186118,TEX38
ENSG00000228237,EFCAB14-AS1
ENSG00000142973,CYP4B1
ENSG00000224805,LINC00853
ENSG00000123473,STIL
ENSG00000162368,CMPK1
ENSG00000225762,RP11-511I2.2
ENSG00000237424,FOXD2-AS1
ENSG00000186564,FOXD2
ENSG00000132122,SPATA6
ENSG00000186094,AGBL4
ENSG00000162373,BEND5
ENSG00000162374,ELAVL4
ENSG00000271782,RP5-850O15.4
ENSG00000185104,FAF1
ENSG00000225767,RP5-850O15.3
ENSG00000123080,CDKN2C
ENSG00000203356,RP11-296A18.3
ENSG00000123091,RNF11
ENSG00000085831,TTC39A
ENSG00000085832,EPS15
ENSG00000238140,RP11-253A20.1
ENSG00000227070,RP11-191G24.1
ENSG00000117859,OSBPL9
ENSG00000078618,NRD1
ENSG00000266993,RP4-657D16.3
ENSG00000272175,RP4-657D16.6
ENSG00000169213,RAB3B
ENSG00000117862,TXNDC12
ENSG00000198841,KTI12
ENSG00000223390,RP11-91A18.4
ENSG00000228369,TXNDC12-AS1
ENSG00000134717,BTF3L4
ENSG00000157077,ZFYVE9
ENSG00000154222,CC2D1B
ENSG00000272100,RP11-155O18.6
ENSG00000085840,ORC1
ENSG00000134748,PRPF38A
ENSG00000134744,ZCCHC11
ENSG00000272371,RP11-25O10.2
ENSG00000116157,GPX7
ENSG00000182183,FAM159A
ENSG00000162377,COA7
ENSG00000162378,ZYG11B
ENSG00000203995,ZYG11A
ENSG00000121310,ECHDC2
ENSG00000116171,SCP2
ENSG00000174348,PODN
ENSG00000162383,SLC1A7
ENSG00000157184,CPT2
ENSG00000236723,RP5-1024G6.2
ENSG00000162384,C1orf123
ENSG00000259818,RP5-1024G6.7
ENSG00000162385,MAGOH
ENSG00000226754,RP5-1024G6.5
ENSG00000270172,RP5-1024G6.8
ENSG00000157193,LRP8
ENSG00000234578,RP4-784A16.1
ENSG00000225675,RP4-784A16.5
ENSG00000230138,RP11-117D22.2
ENSG00000174332,GLIS1
ENSG00000058804,NDC1
ENSG00000058799,YIPF1
ENSG00000211452,DIO1
ENSG00000081870,HSPB11
ENSG00000116212,LRRC42
ENSG00000272091,RP4-758J24.5
ENSG00000116209,TMEM59
ENSG00000116205,TCEANC2
ENSG00000212670,AL161915.1
ENSG00000157211,CDCP2
ENSG00000256407,RP11-446E24.4
ENSG00000248835,AL357673.1
ENSG00000215883,CYB5RL
ENSG00000116221,MRPL37
ENSG00000157216,SSBP3
ENSG00000198711,SSBP3-AS1
ENSG00000225632,RP5-997D24.3
ENSG00000162390,ACOT11
ENSG00000184313,MROH7
ENSG00000243725,TTC4
ENSG00000162396,PARS2
ENSG00000006555,TTC22
ENSG00000237453,RP11-67L3.2
ENSG00000162398,C1orf177
ENSG00000116133,DHCR24
ENSG00000242396,RP11-67L3.5
ENSG00000233203,RP11-67L3.4
ENSG00000143001,TMEM61
ENSG00000162399,BSND
ENSG00000162402,USP24
ENSG00000234810,RP11-466L17.1
ENSG00000162407,PPAP2B
ENSG00000173406,DAB1
ENSG00000162600,OMA1
ENSG00000184292,TACSTD2
ENSG00000162601,MYSM1
ENSG00000177606,JUN
ENSG00000234807,LINC01135
ENSG00000272226,RP11-63G10.3
ENSG00000232453,RP4-794H19.1
ENSG00000230812,RP4-794H19.4
ENSG00000237352,RP11-145M4.3
ENSG00000172456,FGGY
ENSG00000231816,RP4-782L23.1
ENSG00000134709,HOOK1
ENSG00000134716,CYP2J2
ENSG00000226476,RP11-776H12.1
ENSG00000162599,NFIA
ENSG00000162604,TM2D1
ENSG00000271200,RP11-430G17.3
ENSG00000132849,INADL
ENSG00000240563,L1TD1
ENSG00000162607,USP1
ENSG00000116641,DOCK7
ENSG00000269624,AL138847.1
ENSG00000235545,RP11-230B22.1
ENSG00000125703,ATG4C
ENSG00000088035,ALG6
ENSG00000142856,ITGB3BP
ENSG00000203965,EFCAB7
ENSG00000116652,DLEU2L
ENSG00000079739,PGM1
ENSG00000185483,ROR1
ENSG00000158966,CACHD1
ENSG00000162437,RAVER2
ENSG00000162434,JAK1
ENSG00000226891,RP11-182I10.3
ENSG00000272506,RP4-535B20.4
ENSG00000231485,RP4-535B20.1
ENSG00000162433,AK4
ENSG00000116675,DNAJC6
ENSG00000116678,LEPR
ENSG00000213625,LEPROT
ENSG00000184588,PDE4B
ENSG00000118473,SGIP1
ENSG00000248458,AL139147.1
ENSG00000152760,TCTEX1D1
ENSG00000152763,WDR78
ENSG00000198160,MIER1
ENSG00000116704,SLC35D1
ENSG00000203963,C1orf141
ENSG00000162594,IL23R
ENSG00000081985,IL12RB2
ENSG00000142864,SERBP1
ENSG00000116717,GADD45A
ENSG00000172380,GNG12
ENSG00000162595,DIRAS3
ENSG00000116729,WLS
ENSG00000024526,DEPDC1
ENSG00000233589,RP4-694A7.2
ENSG00000234264,RP4-694A7.4
ENSG00000033122,LRRC7
