"population","thread","pathway_id","display_label","source_collection","tested","direction","nes","pvalue","padj","padj_pooled","significant_pooled","set_size","leading_edge_size","rank_padj_pooled","rank_nes_signed","rank_nes_abs","n_tests_pooled","n_sig_pooled","n_genes_shared_with_WT_heat_up","why_included"
"CD8","mouse 39 °C-derived arms","KO_heat_up","KO_heat_up","mouse_projection",TRUE,"up",2.06409275,6.26766629e-08,1.88029989e-07,7.60828712e-06,TRUE,129,55,95,72,140,11532,939,185,"the cGAS-knockout comparator for the same 39 °C contrast; drawn beside the primary arm because it beats it on pooled FDR in all three populations and shares most of its genes, so the two are close to one observation twice"
"CD8","mouse 39 °C-derived arms","WT_heat_up","WT_heat_up","mouse_projection",TRUE,"up",2.06248042,1.77204274e-07,2.65806411e-07,1.96492278e-05,TRUE,114,49,104,73,141,11532,939,NA,"the primary projected up arm, and the reason this compartment ran the sweep at all; drawn so its position can be read against every other set tested"
"CD8","mouse 39 °C-derived arms","Interaction_up","Interaction_up","mouse_projection",TRUE,"up",1.54350538,0.0338872293,0.0338872293,0.176268619,FALSE,6,4,2217,1452,1775,11532,939,NA,"the interaction arm of the same mouse contrast, 6 of 7 genes in the ranked list; drawn so the reader sees the size at which this sweep stops resolving"
"CD8","type-I interferon","ifn_only_up","ifn_only_up","sting_axes",TRUE,"up",2.60345181,2.08966781e-12,4.17933563e-12,5.12724451e-10,TRUE,59,38,47,2,42,11532,939,NA,"the generic type-I interferon axis frozen from the SAVI compartment; carried so a cGAS-STING result can be read against the interferon response it would be confused with"
"CD8","type-I interferon","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK INTERFERON ALPHA RESPONSE","Hallmark",TRUE,"up",2.22776361,1.15208206e-08,9.60068382e-08,1.60070004e-06,TRUE,93,36,83,30,83,11532,939,NA,"the curated versioned interferon comparator drawn beside it on the per-cell program map; two differently-built sets for one named biology, so the pair shows how far the reading depends on which one is read"
"Tcon","cGAS-STING","sting_specific_up","sting_specific_up","sting_axes",TRUE,"up",1.95353868,0.000855416086,0.000855416086,0.00923126707,TRUE,16,9,1089,533,596,11752,2043,NA,"a member of the complete cGAS-STING family in this sweep; all six are drawn, including the two regulation-of terms whose signs disagree, so no member is chosen for its result"
"Tcon","cGAS-STING","WP_STING_PATHWAY_IN_KAWASAKILIKE_DISEASE_AND_COVID19","WP STING PATHWAY IN KAWASAKILIKE DISEASE AND COVID19","WikiPathways",TRUE,"up",1.68086243,0.0124867014,0.0544932455,0.0646732987,FALSE,19,8,2269,1633,1758,11752,2043,NA,"a member of the complete cGAS-STING family in this sweep; all six are drawn, including the two regulation-of terms whose signs disagree, so no member is chosen for its result"
"Tcon","cGAS-STING","REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES","REACTOME STING MEDIATED INDUCTION OF HOST IMMUNE RESPONSES","Reactome",TRUE,"up",1.65926944,0.0178514083,0.0849390016,0.0824969524,FALSE,13,5,2543,1782,1917,11752,2043,NA,"a member of the complete cGAS-STING family in this sweep; all six are drawn, including the two regulation-of terms whose signs disagree, so no member is chosen for its result"
"Tcon","cGAS-STING","GOBP_CGAS_STING_SIGNALING_PATHWAY","GOBP CGAS STING SIGNALING PATHWAY","GO_BP",TRUE,"up",0.90824605,0.598329399,0.746513202,0.759184528,FALSE,27,7,9262,7339,9202,11752,2043,NA,"a member of the complete cGAS-STING family in this sweep; all six are drawn, including the two regulation-of terms whose signs disagree, so no member is chosen for its result"
"Tcon","cGAS-STING","GOBP_POSITIVE_REGULATION_OF_CGAS_STING_SIGNALING_PATHWAY","GOBP POSITIVE REGULATION OF CGAS STING SIGNALING PATHWAY","GO_BP",TRUE,"down",-0.784935491,0.730579608,0.833896701,0.845409552,FALSE,6,4,10155,9426,10384,11752,2043,NA,"a member of the complete cGAS-STING family in this sweep; all six are drawn, including the two regulation-of terms whose signs disagree, so no member is chosen for its result"
"Tcon","cGAS-STING","GOBP_NEGATIVE_REGULATION_OF_CGAS_STING_SIGNALING_PATHWAY","GOBP NEGATIVE REGULATION OF CGAS STING SIGNALING PATHWAY","GO_BP",TRUE,"up",0.585684994,0.95563788,0.974606193,0.981186123,FALSE,16,4,11446,8649,11490,11752,2043,NA,"a member of the complete cGAS-STING family in this sweep; all six are drawn, including the two regulation-of terms whose signs disagree, so no member is chosen for its result"
"Tcon","curated, anchor-independent","HALLMARK_HYPOXIA","HALLMARK HYPOXIA","Hallmark",TRUE,"up",2.22837424,7.60279132e-10,3.80139566e-09,7.26406534e-08,TRUE,157,63,123,122,168,11752,2043,NA,"the curated versioned hypoxia set this compartment has used throughout; the hypoxia half of the question this figure closes, and a panel of the per-cell arm map"
"Tcon","curated, anchor-independent","HSR_core","HSR_core","project_frozen",TRUE,"down",-1.3293108,0.084939843,0.0990964835,0.233554758,FALSE,44,10,4274,11218,4840,11752,2043,NA,"the curated activation-free proteostasis core, the anchor-independent lens any proteostasis reading rests on; a panel of the per-cell arm map, where it colours synovial territory alongside the mouse arms"
"Tcon","derived here from GSE161426","eTreg_up","eTreg_up","eTreg_lens",TRUE,"up",3.66653624,1.58225223e-60,1.58225223e-60,1.85946282e-56,TRUE,161,124,1,1,1,11752,2043,NA,"this compartment's own effector-Treg contrast on another cohort, and the third panel of the per-cell arm map; it asks this contrast's own synovial-versus-blood question of different patients, so its position marks what a set built to separate exactly these two tissues reaches in this sweep"
"Tcon","inflammation and activation","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK IL2 STAT5 SIGNALING","Hallmark",TRUE,"up",2.52829243,1.2728811e-16,3.18220274e-15,3.83561504e-14,TRUE,181,97,39,15,48,11752,2043,NA,"the three programs the per-cell program map rules the cGAS-STING family off from; a colouring shared with these is generic inflammation, and their rows here give that comparison a number"
"Tcon","inflammation and activation","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK TNFA SIGNALING VIA NFKB","Hallmark",TRUE,"up",2.49573568,1.51935524e-15,2.01221477e-14,4.15243322e-13,TRUE,180,80,43,22,57,11752,2043,NA,"the three programs the per-cell program map rules the cGAS-STING family off from; a colouring shared with these is generic inflammation, and their rows here give that comparison a number"
"Tcon","inflammation and activation","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK INFLAMMATORY RESPONSE","Hallmark",TRUE,"up",2.57180902,1.60977182e-15,2.01221477e-14,4.29955419e-13,TRUE,152,76,44,9,41,11752,2043,NA,"the three programs the per-cell program map rules the cGAS-STING family off from; a colouring shared with these is generic inflammation, and their rows here give that comparison a number"
"Tcon","mouse 39 °C-derived arms","KO_heat_up","KO_heat_up","mouse_projection",TRUE,"up",2.65683946,1.7916907e-17,5.37507209e-17,6.01598545e-15,TRUE,147,75,35,4,34,11752,2043,185,"the cGAS-knockout comparator for the same 39 °C contrast; drawn beside the primary arm because it beats it on pooled FDR in all three populations and shares most of its genes, so the two are close to one observation twice"
"Tcon","mouse 39 °C-derived arms","WT_heat_up","WT_heat_up","mouse_projection",TRUE,"up",2.68228025,4.16926573e-17,6.2538986e-17,1.32424894e-14,TRUE,131,71,37,3,33,11752,2043,NA,"the primary projected up arm, and the reason this compartment ran the sweep at all; drawn so its position can be read against every other set tested"
"Tcon","mouse 39 °C-derived arms","Interaction_up","Interaction_up","mouse_projection",TRUE,"up",1.40502822,0.103521796,0.103521796,0.265572613,FALSE,6,3,4581,3664,4058,11752,2043,NA,"the interaction arm of the same mouse contrast, 6 of 7 genes in the ranked list; drawn so the reader sees the size at which this sweep stops resolving"
"Tcon","type-I interferon","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK INTERFERON ALPHA RESPONSE","Hallmark",TRUE,"up",2.27584434,5.03834585e-09,2.09931077e-08,3.70066503e-07,TRUE,93,40,160,90,133,11752,2043,NA,"the curated versioned interferon comparator drawn beside it on the per-cell program map; two differently-built sets for one named biology, so the pair shows how far the reading depends on which one is read"
"Tcon","type-I interferon","ifn_only_up","ifn_only_up","sting_axes",TRUE,"up",2.32913742,8.92266089e-09,1.78453218e-08,6.16818299e-07,TRUE,72,30,170,63,104,11752,2043,NA,"the generic type-I interferon axis frozen from the SAVI compartment; carried so a cGAS-STING result can be read against the interferon response it would be confused with"
"Treg","cGAS-STING","sting_specific_up","sting_specific_up","sting_axes",TRUE,"up",1.6609432,0.0183588638,0.0183588638,0.104473904,FALSE,13,7,2021,1388,1468,11514,1443,NA,"a member of the complete cGAS-STING family in this sweep; all six are drawn, including the two regulation-of terms whose signs disagree, so no member is chosen for its result"
"Treg","cGAS-STING","WP_STING_PATHWAY_IN_KAWASAKILIKE_DISEASE_AND_COVID19","WP STING PATHWAY IN KAWASAKILIKE DISEASE AND COVID19","WikiPathways",TRUE,"up",1.36533596,0.105656814,0.287716926,0.312412058,FALSE,18,7,3894,3407,3730,11514,1443,NA,"a member of the complete cGAS-STING family in this sweep; all six are drawn, including the two regulation-of terms whose signs disagree, so no member is chosen for its result"
"Treg","cGAS-STING","GOBP_CGAS_STING_SIGNALING_PATHWAY","GOBP CGAS STING SIGNALING PATHWAY","GO_BP",TRUE,"up",1.24433774,0.178201015,0.422677518,0.420969734,FALSE,25,8,4874,4383,4907,11514,1443,NA,"a member of the complete cGAS-STING family in this sweep; all six are drawn, including the two regulation-of terms whose signs disagree, so no member is chosen for its result"
"Treg","cGAS-STING","GOBP_NEGATIVE_REGULATION_OF_CGAS_STING_SIGNALING_PATHWAY","GOBP NEGATIVE REGULATION OF CGAS STING SIGNALING PATHWAY","GO_BP",TRUE,"up",1.22738319,0.213601367,0.466959199,0.466149761,FALSE,14,5,5276,4541,5107,11514,1443,NA,"a member of the complete cGAS-STING family in this sweep; all six are drawn, including the two regulation-of terms whose signs disagree, so no member is chosen for its result"
"Treg","cGAS-STING","REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES","REACTOME STING MEDIATED INDUCTION OF HOST IMMUNE RESPONSES","Reactome",TRUE,"up",1.18229838,0.259465479,0.524557122,0.517223948,FALSE,13,7,5776,4924,5587,11514,1443,NA,"a member of the complete cGAS-STING family in this sweep; all six are drawn, including the two regulation-of terms whose signs disagree, so no member is chosen for its result"
"Treg","cGAS-STING","GOBP_POSITIVE_REGULATION_OF_CGAS_STING_SIGNALING_PATHWAY","GOBP POSITIVE REGULATION OF CGAS STING SIGNALING PATHWAY","GO_BP",TRUE,"down",-0.784459876,0.732749597,0.85841403,0.871346347,FALSE,6,2,9681,9369,9963,11514,1443,NA,"a member of the complete cGAS-STING family in this sweep; all six are drawn, including the two regulation-of terms whose signs disagree, so no member is chosen for its result"
"Treg","curated, anchor-independent","HALLMARK_HYPOXIA","HALLMARK HYPOXIA","Hallmark",TRUE,"up",2.27131461,9.20868074e-11,6.5776291e-10,1.42162841e-08,TRUE,143,65,74,96,127,11514,1443,NA,"the curated versioned hypoxia set this compartment has used throughout; the hypoxia half of the question this figure closes, and a panel of the per-cell arm map"
"Treg","curated, anchor-independent","HSR_core","HSR_core","project_frozen",TRUE,"up",1.48548119,0.0319525992,0.0319525992,0.150717832,FALSE,44,20,2441,2493,2684,11514,1443,NA,"the curated activation-free proteostasis core, the anchor-independent lens any proteostasis reading rests on; a panel of the per-cell arm map, where it colours synovial territory alongside the mouse arms"
"Treg","derived here from GSE161426","eTreg_up","eTreg_up","eTreg_lens",TRUE,"up",3.72473879,1.83083225e-72,1.83083225e-72,2.10802025e-68,TRUE,167,132,1,1,1,11514,1443,NA,"this compartment's own effector-Treg contrast on another cohort, and the third panel of the per-cell arm map; it asks this contrast's own synovial-versus-blood question of different patients, so its position marks what a set built to separate exactly these two tissues reaches in this sweep"
"Treg","inflammation and activation","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK IL2 STAT5 SIGNALING","Hallmark",TRUE,"up",2.58077842,2.1380785e-17,5.34519624e-16,1.07034069e-14,TRUE,171,90,23,6,28,11514,1443,NA,"the three programs the per-cell program map rules the cGAS-STING family off from; a colouring shared with these is generic inflammation, and their rows here give that comparison a number"
"Treg","inflammation and activation","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK INFLAMMATORY RESPONSE","Hallmark",TRUE,"up",2.35679441,3.68661341e-12,3.77243394e-11,9.43281483e-10,TRUE,143,58,45,51,80,11514,1443,NA,"the three programs the per-cell program map rules the cGAS-STING family off from; a colouring shared with these is generic inflammation, and their rows here give that comparison a number"
"Treg","inflammation and activation","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK TNFA SIGNALING VIA NFKB","Hallmark",TRUE,"up",2.27879527,1.5146303e-11,1.26219192e-10,3.18548172e-09,TRUE,176,81,54,89,120,11514,1443,NA,"the three programs the per-cell program map rules the cGAS-STING family off from; a colouring shared with these is generic inflammation, and their rows here give that comparison a number"
"Treg","mouse 39 °C-derived arms","KO_heat_up","KO_heat_up","mouse_projection",TRUE,"up",2.60127691,6.60370203e-16,1.98111061e-15,2.71553661e-13,TRUE,136,72,28,4,25,11514,1443,185,"the cGAS-knockout comparator for the same 39 °C contrast; drawn beside the primary arm because it beats it on pooled FDR in all three populations and shares most of its genes, so the two are close to one observation twice"
"Treg","mouse 39 °C-derived arms","WT_heat_up","WT_heat_up","mouse_projection",TRUE,"up",2.59184639,1.01678976e-14,1.52518465e-14,3.65853667e-12,TRUE,120,65,32,5,26,11514,1443,NA,"the primary projected up arm, and the reason this compartment ran the sweep at all; drawn so its position can be read against every other set tested"
"Treg","mouse 39 °C-derived arms","Interaction_up","Interaction_up","mouse_projection",TRUE,"up",1.47287946,0.0699435495,0.0699435495,0.243929275,FALSE,6,5,3300,2570,2773,11514,1443,NA,"the interaction arm of the same mouse contrast, 6 of 7 genes in the ranked list; drawn so the reader sees the size at which this sweep stops resolving"
"Treg","type-I interferon","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK INTERFERON ALPHA RESPONSE","Hallmark",TRUE,"up",2.33602879,1.80356582e-09,8.19802646e-09,1.98281226e-07,TRUE,93,52,104,62,91,11514,1443,NA,"the curated versioned interferon comparator drawn beside it on the per-cell program map; two differently-built sets for one named biology, so the pair shows how far the reading depends on which one is read"
"Treg","type-I interferon","ifn_only_up","ifn_only_up","sting_axes",TRUE,"up",2.30989266,5.39627127e-08,1.07925425e-07,3.76561621e-06,TRUE,61,24,165,73,102,11514,1443,NA,"the generic type-I interferon axis frozen from the SAVI compartment; carried so a cGAS-STING result can be read against the interferon response it would be confused with"
